Codigo;Produto;Quantidade;Altura;Largura;Profundidade
260;POLIA ALTER.MERCEDES 1113/1519/2220 DUPLA S/PINO;3;11,4;3,91;11,4
262;PISTAO AUTOMATICO PERKINS (ZM501);9;10,795;10,795;10,795
263;RELE AUXILIAR 4 TERM. 24V 30A C/SUPORTE   PRETO;66;6;3,3;3,5
276;BORRACHINHA VEDACAO RESERVATORIO VW/GM/FIAT;396;3,1;2,5;2,5
277;BORRACHINHA VEDACAO RESERV FORD;45;3,1;2,5;2,5
279;BENDIX PART.VW FUSCA/KOMBI 05-81/06-81    9D WAPSA;1;7,75;5,5;5,5
290;CHAVE LUZ VW GOL/VOYAGE/SAVEIRO 88/.. C/REOSTATO;36;6,3;4;5,7
327;CHAVE SETA MERCEDES   S/LAMPEJO S/RETORNO    CURTA;27;35,7;7,5;10
328;CHAVE SETA MERCEDES   S/LAMPEJO S/RETORNO    LONGA;9;35,7;7,5;10
330;AUTOMATICO PART.AUXILIAR PERKINS          12V FORD;33;15;8;8
332;AUTOMATICO PART.FORD CORCEL              12V BOSCH;6;15;7;8
366;CEBOLINHA FREIO GM CORSA/CELTA/PRISMA/VECTRA;18;11;4;4
368;AUTOMATICO PART.VW FUSCA/KOMBI 67/81     12V WAPSA;3;15;8;8
369;AUTOMATICO PART.VW GOL 1.8               12V WAPSA;1;15;8;8
376;POLIA ALTER.MERCEDES 2215/2216/1621 DUPLA C/PINO;1;11,6;7,31;11,6
415;TRIODO EXCITACAO OPALA/MONZA DELCAO ODTDE01;15;5;1;1
432;DISJUNTOR TERMICO 30A GM OPALA C/AR CONDICIONADO;3;6,3;4;5,7
433;BENDIX PART.VW GOL 1.8/SANTANA 1.8        9D WAPSA;4;7,75;5,5;5,5
434;BENDIX PART.FORD ESCORT/VERONA 1.8        9D BOSCH;3;7,75;5,5;5,5
435;BENDIX PART.GM D20 92/.. PERKINS         10D BOSCH;24;10,76;6,1;6,1
436;BENDIX PART.GM C10/C14/C15 64/..          9D DELCO;3;7,75;5,5;5,5
438;MANCAL ALTERNADOR MERCEDES 35A              DIANT.;-9;15,708;15,708;15,708
442;MANCAL ALTERNADOR GM CHEVETTE DELQUINHO     TRASE.;3;15,708;15,708;15,708
445;MANCAL ALTERNADOR GM MONZA/OPALA 84/.DELCO  DIANT.;2;15,708;15,708;15,708
446;MANCAL ALTERNADOR GM OPALA 69/74 C10 DELCO  DIANT.;4;15,708;15,708;15,708
449;MANCAL ALTERNADOR GM MONZA C/ALT.BOSCH      DIANT.;3;15,708;15,708;15,708
450;MANCAL ALTERNADOR VW PASSAT/PARATI ../84    DIANT.;1;16;13,8;15
452;MANCAL PART.GM OPALA/A10/C10 64/84      TRAS.DELCO;3;28;13,8;20
453;MANCAL PART.MERCEDES JF/AGRALE/TOYOTA TRAS.BOSCH;36;28;13,8;20
454;FUCINHO PARTIDA GM OPALA TODOS               DELCO;18;16;13,8;15
456;VENTOINHA ALTERNADOR MERCEDES/FORD/GM/VW;15;16,4;2,01;16,4
464;MANCAL ALTERNADOR GM CHEVETTE/OPALA DELCAO  DIANT.;4;15,708;15,708;15,708
465;PINHAO BENDIX MERCEDES KB MWM D232/OM232  9D BOSCH;3;7,75;5,5;5,5
